station_id,neighborhood,station_line,station_name,cafes,weekday_<6am,weekday_>10pm,weekend_<6am,weekend_>10pm,open_24/7,avg_rating,avg_rating_count,price_lvl_1,price_lvl_2,price_lvl_3,avg_price_lvl,avg_open_hours,neighborhood_density,storefronts,bike_routes,bikeshare_stations,bus_stops,parking_meters,parks,commercial,comprehensive_dev,industrial,residential,res_inclusive
1,Downtown,Expo,Waterfront,0.68,0.60,0.75,0.57,0.55,0.33,0.79,0.33,0.65,0.73,0.00,0.56,0.17,1.00,0.79,0.64,0.47,0.51,0.26,0.17,0.00,0.91,0.00,0.00,0.00
2,Strathcona,Expo,VCC - Clark,0.03,0.10,0.06,0.14,0.00,0.00,0.66,0.00,0.08,0.00,0.00,0.00,0.43,0.00,0.00,0.36,0.33,0.15,0.01,0.50,0.01,0.10,0.61,0.60,0.08
3,Fairview,Canada,Olympic Village,0.19,0.30,0.00,0.43,0.00,0.00,0.84,0.23,0.19,0.17,0.00,0.50,0.08,0.61,0.37,0.64,0.60,0.25,0.51,0.17,0.64,0.37,0.46,0.10,0.00
4,Mount Pleasant,Canada,Broadway - City Hall,0.30,0.20,0.19,0.29,0.18,0.00,0.79,0.21,0.27,0.20,0.00,0.46,0.06,0.58,0.51,0.55,0.67,0.29,0.64,0.00,0.72,0.25,0.20,0.42,0.00
5,Riley Park,Canada,King Edward,0.01,0.10,0.06,0.14,0.09,0.00,0.00,0.42,0.04,0.00,0.00,0.00,1.00,0.16,0.03,0.27,0.20,0.18,0.00,0.17,0.03,0.07,0.00,0.33,0.74
6,Downtown,Expo,Burrard,0.76,0.90,0.56,1.00,0.55,0.67,0.75,0.34,0.69,0.97,1.00,0.67,0.20,1.00,0.89,0.64,0.73,0.66,0.74,0.33,0.00,0.99,0.00,0.01,0.00
7,Marpole,Canada,Marine Drive,0.04,0.20,0.19,0.29,0.18,0.00,0.46,0.29,0.12,0.03,0.00,0.25,0.61,0.11,0.09,0.36,0.00,0.04,0.00,0.00,0.00,0.12,0.77,0.25,0.26
8,Downtown,Expo,Granville,1.00,1.00,1.00,1.00,1.00,0.67,0.77,0.30,1.00,1.00,1.00,0.59,0.20,1.00,1.00,0.73,1.00,1.00,0.42,0.50,0.00,0.98,0.00,0.00,0.00
9,Downtown,Expo,Stadium - Chinatown,0.45,0.10,0.50,0.14,0.64,0.67,0.88,0.66,0.42,0.47,0.50,0.62,0.13,1.00,0.61,1.00,0.67,0.44,0.37,0.67,0.00,0.89,0.00,0.00,0.00
10,Downtown,Expo,Main Street - Science World,0.12,0.30,0.13,0.43,0.27,0.67,0.63,0.83,0.12,0.13,0.00,0.57,0.63,1.00,0.15,0.91,0.33,0.14,0.05,0.83,0.42,0.45,0.45,0.00,0.11
11,Renfrew-Collingwood,Expo,29th Avenue,0.00,0.00,0.00,0.00,0.00,0.00,0.70,0.40,0.00,0.00,0.00,0.51,0.30,0.34,0.00,0.27,0.00,0.20,0.00,0.17,0.03,0.03,0.00,0.23,0.87
12,Renfrew-Collingwood,Expo,Joyce - Collingwood,0.04,0.00,0.19,0.00,0.27,0.00,0.47,0.27,0.08,0.00,0.00,0.00,0.37,0.34,0.09,0.00,0.00,0.14,0.00,0.67,0.03,0.21,0.00,0.22,0.67
13,Renfrew-Collingwood,Millennium ,Rupert,0.02,0.10,0.00,0.14,0.00,0.00,0.15,0.21,0.04,0.03,0.00,0.50,0.51,0.34,0.00,0.09,0.00,0.15,0.00,0.00,0.06,0.31,0.40,0.01,0.47
14,Renfrew-Collingwood,Millennium ,Renfrew,0.06,0.30,0.19,0.43,0.27,0.00,0.66,0.87,0.15,0.07,0.00,0.33,0.40,0.34,0.02,0.09,0.00,0.14,0.00,0.00,0.08,0.35,0.08,0.00,0.63
15,Grandview-Woodland,Millennium ,Commercial - Broadway,0.07,0.10,0.06,0.14,0.09,0.33,0.72,0.93,0.04,0.13,0.00,0.80,0.59,0.31,0.30,0.36,0.53,0.21,0.16,0.17,0.31,0.00,0.00,1.00,0.11
16,Downtown,Canada,Waterfront,0.76,0.60,0.75,0.57,0.64,0.33,0.78,0.30,0.65,0.87,0.00,0.60,0.15,1.00,0.77,0.73,0.60,0.64,0.30,0.50,0.00,0.93,0.00,0.00,0.00
17,Downtown,Canada,Vancouver City Center,0.73,0.70,0.81,0.71,1.00,1.00,0.73,0.40,0.81,0.73,1.00,0.58,0.27,1.00,0.97,0.82,0.87,0.69,0.75,0.33,0.00,1.00,0.00,0.00,0.00
18,Kensington-Cedar Cottage,Expo,Commercial - Broadway,0.06,0.10,0.06,0.14,0.09,0.33,0.70,1.00,0.04,0.13,0.00,0.80,0.66,0.38,0.24,0.36,0.40,0.23,0.14,0.67,0.31,0.01,0.00,0.97,0.12
19,Downtown,Canada,Yaletown - Roundhouse,0.23,0.40,0.25,0.57,0.18,0.33,0.90,0.27,0.23,0.27,0.00,0.57,0.22,1.00,0.66,0.91,0.60,0.28,1.00,1.00,0.00,0.88,0.00,0.00,0.04
20,Oakridge,Canada,Oakridge - 41st Avenue,0.02,0.10,0.00,0.14,0.00,0.00,0.98,0.28,0.00,0.03,0.00,1.00,0.17,0.03,0.01,0.36,0.00,0.16,0.00,0.17,0.09,0.30,0.00,0.10,0.65
21,Oakridge,Canada,Langara - 49th Avenue,0.03,0.00,0.06,0.00,0.09,0.00,0.44,0.24,0.04,0.03,0.00,0.50,0.23,0.03,0.00,0.27,0.00,0.10,0.00,0.17,0.00,0.30,0.00,0.17,0.63
22,Renfrew-Collingwood,Expo,Nanaimo,0.00,0.00,0.00,0.00,0.00,0.00,0.70,0.40,0.00,0.00,0.00,0.51,0.29,0.34,0.00,0.27,0.00,0.13,0.00,0.00,0.03,0.01,0.00,0.10,1.00
23,Strathcona,Broadway (Opens 2026),Great Northern Way - Emily Carr,0.05,0.00,0.00,0.00,0.00,0.00,0.66,0.24,0.04,0.07,0.00,0.67,0.00,0.00,0.01,0.18,0.27,0.00,0.07,0.17,0.04,0.12,1.00,0.35,0.00
24,Mount Pleasant,Broadway (Opens 2026),Mount Pleasant,0.22,0.20,0.44,0.29,0.64,0.00,0.97,0.53,0.08,0.30,0.00,0.82,0.26,0.58,0.64,0.36,0.60,0.24,0.44,0.50,0.75,0.01,0.41,0.54,0.00
25,Mount Pleasant,Broadway (Opens 2026),Broadway - City Hall,0.31,0.30,0.19,0.43,0.18,0.00,0.78,0.22,0.27,0.27,0.00,0.53,0.07,0.58,0.50,0.55,0.67,0.26,0.67,0.17,0.73,0.20,0.26,0.43,0.00
26,Fairview,Broadway (Opens 2026),Oak - VGH,0.21,0.40,0.31,0.57,0.09,0.00,0.82,0.07,0.19,0.10,0.00,0.38,0.15,0.61,0.33,0.64,0.20,0.19,0.54,0.50,0.42,0.38,0.00,0.57,0.00
27,Fairview,Broadway (Opens 2026),South Granville,0.15,0.30,0.19,0.43,0.18,0.00,0.87,0.37,0.19,0.13,0.00,0.44,0.03,0.61,0.52,0.36,0.40,0.30,0.79,0.33,1.00,0.06,0.05,0.57,0.05
28,Kitsilano,Broadway (Opens 2026),Arbutus,0.18,0.00,0.06,0.00,0.00,0.00,1.00,0.47,0.19,0.20,0.00,0.55,0.08,0.37,0.58,0.36,0.40,0.13,0.56,0.50,0.71,0.06,0.01,0.75,0.06