station_id,neighborhood,station_line,station_name,cafes,weekday_<6am,weekday_>10pm,weekend_<6am,weekend_>10pm,open_24/7,avg_rating,avg_rating_count,price_lvl_1,price_lvl_2,price_lvl_3,avg_price_lvl,avg_open_hours,neighborhood_density,storefronts,bike_routes,bikeshare_stations,bus_stops,parking_meters,parks,comm_zone,cd_zone,ind_zone,res_zone,res_incl_zone
1,Downtown,Expo,Waterfront,68,6,12,4,6,1,4.2,382,17,22,0,1.6,9.8,"13,271","1,505",8,7,47,173,2,0%,91%,0%,0%,0%
2,Strathcona,Expo,VCC - Clark,3,1,1,1,0,0,4.0,113,2,0,0,1.0,12.5,"2,880",0,5,5,18,8,4,0%,15%,34%,44%,7%
3,Fairview,Canada,Olympic Village,19,3,0,3,0,0,4.3,301,5,5,0,1.5,8.8,"9,248",701,8,9,26,344,2,26%,40%,26%,7%,0%
4,Mount Pleasant,Canada,Broadway - City Hall,30,2,3,2,2,0,4.2,289,7,6,0,1.5,8.6,"8,858",975,7,10,29,425,1,30%,29%,11%,30%,0%
5,Riley Park,Canada,King Edward,1,1,1,1,1,0,3.1,461,1,0,0,1.0,18.6,"4,573",58,4,3,20,3,2,1%,11%,0%,24%,63%
6,Downtown,Expo,Burrard,76,9,9,7,6,2,4.1,392,18,29,2,1.7,10.1,"13,271","1,698",8,11,59,495,3,0%,99%,0%,1%,0%
7,Marpole,Canada,Marine Drive,4,2,3,2,2,0,3.7,354,3,1,0,1.3,14.5,"4,075",166,5,0,9,0,1,0%,16%,43%,19%,22%
8,Downtown,Expo,Granville,100,10,16,7,11,2,4.2,363,26,30,2,1.6,10.1,"13,271","1,912",9,15,86,283,4,0%,98%,0%,0%,0%
9,Downtown,Expo,Stadium - Chinatown,45,1,8,1,7,2,4.3,658,11,14,1,1.6,9.3,"13,271","1,166",12,10,41,249,5,0%,89%,0%,0%,0%
10,Downtown,Expo,Main Street - Science World,12,3,2,3,3,2,4.0,795,3,4,0,1.6,14.6,"13,271",278,11,5,17,35,6,17%,48%,25%,0%,9%
11,Renfrew-Collingwood,Expo,29th Avenue,0,0,0,0,0,0,,,0,0,0,,,"6,361",0,4,0,22,0,2,1%,8%,0%,17%,75%
12,Renfrew-Collingwood,Expo,Joyce - Collingwood,4,0,3,0,3,0,3.8,338,2,0,0,1.0,11.9,"6,361",172,1,0,17,0,5,1%,25%,0%,16%,57%
13,Renfrew-Collingwood,Millennium ,Rupert,2,1,0,1,0,0,3.3,289,1,1,0,1.5,13.4,"6,361",6,2,0,18,0,1,2%,34%,22%,1%,40%
14,Renfrew-Collingwood,Millennium ,Renfrew,6,3,3,3,3,0,4.0,828,4,2,0,1.3,12.2,"6,361",38,2,0,17,0,1,3%,38%,5%,0%,54%
15,Grandview-Woodland,Millennium ,Commercial - Broadway,7,1,1,1,1,1,4.1,882,1,4,0,1.8,14.2,"6,137",566,5,8,23,109,2,13%,5%,0%,73%,9%
16,Downtown,Canada,Waterfront,76,6,12,4,7,1,4.2,361,17,26,0,1.6,9.5,"13,271","1,466",9,9,57,202,4,0%,93%,0%,0%,0%
17,Downtown,Canada,Vancouver City Center,73,7,13,5,11,3,4.1,440,21,22,2,1.6,10.8,"13,271","1,858",10,13,61,500,3,0%,100%,0%,0%,0%
18,Kensington-Cedar Cottage,Expo,Commercial - Broadway,6,1,1,1,1,1,4.1,935,1,4,0,1.8,14.9,"6,801",458,5,6,24,96,5,13%,6%,0%,71%,11%
19,Downtown,Canada,Yaletown - Roundhouse,23,4,4,4,2,1,4.3,332,6,8,0,1.6,10.3,"13,271","1,257",11,9,28,668,7,0%,88%,0%,0%,4%
20,Oakridge,Canada,Oakridge - 41st Avenue,2,1,0,1,0,0,4.5,339,0,1,0,2.0,9.8,"3,238",28,5,0,19,0,2,4%,34%,0%,7%,55%
21,Oakridge,Canada,Langara - 49th Avenue,3,0,1,0,1,0,3.7,307,1,1,0,1.5,10.4,"3,238",0,4,0,14,0,2,0%,33%,0%,13%,54%
22,Renfrew-Collingwood,Expo,Nanaimo,0,0,0,0,0,0,,,0,0,0,,,"6,361",0,4,0,16,0,1,1%,6%,0%,7%,86%
23,Strathcona,Broadway (Opens 2026),Great Northern Way - Emily Carr,5,0,0,0,0,0,4.0,314,1,2,0,1.7,8.0,"2,880",16,3,4,6,50,2,2%,16%,56%,25%,0%
24,Mount Pleasant,Broadway (Opens 2026),Mount Pleasant,22,2,7,2,7,0,4.4,547,2,9,0,1.8,10.7,"8,858","1,229",5,9,25,293,4,31%,6%,23%,40%,0%
25,Mount Pleasant,Broadway (Opens 2026),Broadway - City Hall,31,3,3,3,2,0,4.2,296,7,8,0,1.5,8.7,"8,858",960,7,10,27,450,2,30%,23%,15%,32%,0%
26,Fairview,Broadway (Opens 2026),Oak - VGH,21,4,5,4,1,0,4.2,170,5,3,0,1.4,9.5,"9,248",626,8,3,21,359,4,17%,41%,0%,41%,0%
27,Fairview,Broadway (Opens 2026),South Granville,15,3,3,3,2,0,4.3,415,5,4,0,1.4,8.3,"9,248",998,5,6,30,527,3,41%,10%,3%,42%,4%
28,Kitsilano,Broadway (Opens 2026),Arbutus,18,0,1,0,0,0,4.5,499,5,6,0,1.5,8.9,"6,765","1,102",5,6,16,375,4,29%,10%,1%,55%,5%