station_id,storefronts_count,bus_stop_count,bikeshares_count,bike_routes_count,parks_count,parking_meters_count,population_density,commercial,comprehensive_development,residential,residential_inclusive,industrial,demand_score
8,0.9999999999999999,1.0,1.0,0.7272727272727273,0.5,0.4236526946107785,0.9999999999999999,0.0,0.9798748218745909,0.0,0.0,0.0,14.034327760243464
17,0.9717573221757322,0.6875,0.8666666666666667,0.8181818181818182,0.33333333333333337,0.7485029940119761,0.9999999999999999,0.0,1.0000000000000002,0.003533765275069988,0.0,0.0,13.675660204674704
6,0.8880753138075314,0.6625000000000001,0.7333333333333333,0.6363636363636364,0.33333333333333337,0.7410179640718564,0.9999999999999999,0.0,0.9933574399339361,0.012310668364712063,0.0,0.0,12.906651054162527
19,0.6574267782426778,0.275,0.6,0.9090909090909091,0.9999999999999999,1.0,0.9999999999999999,0.0,0.876743689171604,0.0,0.040953518755867675,0.0,12.466765659673884
16,0.7667364016736401,0.6375,0.6,0.7272727272727273,0.5,0.3023952095808383,0.9999999999999999,0.0,0.9310918685891165,0.0,0.0,0.0,11.469456088633557
9,0.6098326359832635,0.43750000000000006,0.6666666666666666,0.9999999999999999,0.6666666666666666,0.3727544910179641,0.9999999999999999,0.0,0.8915105204715397,0.0,9.850814739582932e-09,0.0,11.233027950630428
1,0.7871338912133891,0.5125,0.4666666666666667,0.6363636363636364,0.16666666666666666,0.25898203592814373,0.9999999999999999,0.0,0.9125237752217205,0.0,0.0,0.0,10.465776932303532
27,0.5219665271966527,0.3,0.4,0.36363636363636365,0.33333333333333337,0.7889221556886228,0.6129342700413819,1.0,0.05568363514598255,0.5672053015355188,0.047693837769181194,0.05001119251176475,9.903487839938657
25,0.502092050209205,0.2625,0.6666666666666666,0.5454545454545454,0.16666666666666666,0.6736526946107785,0.575305552882302,0.7293760120323022,0.19634437484960926,0.43110430289155305,0.0,0.26201140054813016,9.694509221154128
24,0.6427824267782426,0.2375,0.6,0.36363636363636365,0.5,0.438622754491018,0.575305552882302,0.751737914104925,0.010575867912061505,0.5424785826830827,0.0,0.4140054475731896,9.55125740589028
4,0.5099372384937239,0.28750000000000003,0.6666666666666666,0.5454545454545454,0.0,0.6362275449101796,0.575305552882302,0.7166993176935081,0.2518130285747265,0.4160410426401641,0.0,0.19735955082513482,9.532396628738084
3,0.3666317991631799,0.25,0.6,0.6363636363636364,0.16666666666666666,0.5149700598802396,0.6129342700413819,0.6384665688351778,0.37128875871117645,0.09848218829529633,0.003192650630890288,0.46208355232791254,9.058130327382166
10,0.14539748953974893,0.1375,0.3333333333333333,0.9090909090909091,0.8333333333333334,0.05239520958083833,0.9999999999999999,0.42155463391443465,0.4501686975975259,0.0008268930961148365,0.10990123088642695,0.4535245074232375,8.64267432218796
28,0.5763598326359832,0.125,0.4,0.36363636363636365,0.5,0.561377245508982,0.37397748051198154,0.7069241144253814,0.05659770353073506,0.7522536816061254,0.055859829328480194,0.011110720145322023,8.289530490418864
26,0.3274058577405857,0.1875,0.2,0.6363636363636364,0.5,0.5374251497005988,0.6129342700413819,0.420150567875056,0.3826399606699364,0.5659230501362124,0.0,0.0,7.978738426336934
18,0.23953974895397487,0.22500000000000003,0.4,0.36363636363636365,0.6666666666666666,0.14371257485029942,0.37744201713020886,0.30853808229925234,0.010727586487316407,0.9674391129226101,0.12282806180279042,0.0,6.270300052357509
15,0.2960251046025104,0.21250000000000002,0.5333333333333333,0.36363636363636365,0.16666666666666666,0.1631736526946108,0.31344432682128764,0.30775270226704293,0.0,1.0,0.10725434468971211,0.0,6.006739390543823
12,0.0899581589958159,0.1375,0.0,0.0,0.6666666666666666,0.0,0.3350976806852083,0.0349357702069656,0.21036039860448488,0.220157807661496,0.671342665208848,0.0025448301397093956,4.272814491551541
11,0.0,0.2,0.0,0.2727272727272727,0.16666666666666666,0.0,0.3350976806852083,0.025600035221663854,0.029155800923010254,0.22704581765146947,0.872436852937334,0.0,3.9261181772650495
5,0.0303347280334728,0.175,0.2,0.2727272727272727,0.16666666666666666,0.004491017964071857,0.16302569531325184,0.02747862276238866,0.06736670269217734,0.3302246851719861,0.7409627016382173,0.0,3.7802979847198097
22,0.0,0.125,0.0,0.2727272727272727,0.0,0.0,0.3350976806852083,0.025000229593829446,0.014643871744058005,0.09700422983474108,0.9999999999999999,0.0,3.7043127472934136
14,0.0198744769874477,0.1375,0.0,0.09090909090909091,0.0,0.0,0.3350976806852083,0.08292954924461789,0.34757965036959304,0.0,0.6325124368837421,0.08142511328012964,3.638293950203095
13,0.003138075313807531,0.15,0.0,0.09090909090909091,0.0,0.0,0.3350976806852083,0.0600424076724481,0.3068309725327887,0.013082928939502254,0.46965223441398496,0.39807457762970405,3.489825094713788
2,0.0,0.15,0.3333333333333333,0.36363636363636365,0.5,0.011976047904191617,0.0,0.00854019397066002,0.10257395612373651,0.5994513347597548,0.07861769629296364,0.6127142722555997,3.4458844259014887
20,0.014644351464435145,0.1625,0.0,0.36363636363636365,0.16666666666666666,0.0,0.03454912905398899,0.09181134781190761,0.30409368588274394,0.09777913297584288,0.6462564123542525,0.0,3.1849854969319535
7,0.08682008368200836,0.03749999999999999,0.0,0.36363636363636365,0.0,0.0,0.11500336829948993,0.0,0.11751454494218713,0.2529690126436991,0.2590533034432576,0.7702001046479252,2.820411533643372
21,0.0,0.1,0.0,0.2727272727272727,0.16666666666666666,0.0,0.03454912905398899,0.0,0.2984559015760409,0.1707645028277183,0.6345387571059617,0.0,2.77979514674763
23,0.008368200836820083,0.0,0.26666666666666666,0.1818181818181818,0.16666666666666666,0.07485029940119761,0.0,0.044357473547665394,0.12277759024161414,0.3475457671466534,0.0,1.0,2.7384392778562496
