Skytrain Station	Lat	Lng
Waterfront	49.2860754844223	-123.111738155049
VCC - Clark	49.2657831984991	-123.078962252431
Olympic Village	49.2663402324943	-123.115196678993
Broadway - City Hall	49.2627734678834	-123.114782181391
King Edward	49.2491228783803	-123.115336104847
Burrard	49.2858601491736	-123.119972336442
Marine Drive	49.2095478739240	-123.117070776267
Granville	49.2836376868005	-123.116404027195
Stadium - Chinatown	49.2794416918776	-123.109564796303
Main Street - Science World	49.2731779118796	-123.100606907688
29th Avenue	49.2442425921773	-123.045940673986
Joyce - Collingwood	49.2383938052348	-123.031806717107
Rupert	49.2607647779151	-123.032823831814
Renfrew	49.2588929108294	-123.045308458747
Commercial - Broadway	49.2629362673684	-123.068453898837
Waterfront	49.2856657673923	-123.113339268900
Vancouver City Center	49.2817347074528	-123.119284089214
Commercial - Broadway	49.2618178464094	-123.069099403162
Yaletown - Roundhouse	49.2743622548375	-123.121890377796
Oakridge - 41st Avenue	49.2334668107693	-123.116040675328
Langara - 49th Avenue	49.2263869196016	-123.116324860846
Nanaimo	49.2482722106168	-123.055871516332